src,spp,SLA,SE2,dfMinus1
5,23,174,18,7
9,8,136,15.125,7
9,8,106,6.125,7
9,8,101,6.125,7
9,8,110,4.5,7
9,8,93,6.125,7
9,8,99,1.125,7
9,8,93,2,7
9,8,84,2,7
9,23,100,12.5,7
9,23,106,10.125,7
9,23,171,15.125,7
9,23,124,4.5,7
9,23,111,6.125,7
9,23,127,15.125,7
9,23,112,4.5,7
9,23,108,24.5,7
23,22,208.2,NA,NA
23,22,206.2,NA,NA
23,22,205.5,NA,NA
23,22,202.1,NA,NA
23,22,187.8,NA,NA
23,22,201.1,NA,NA
23,22,190.8,NA,NA
23,22,168.4,NA,NA
23,22,208.2,NA,NA
23,22,171.5,NA,NA
2,3,56.4,NA,NA
2,3,58.3,NA,NA
25,22,106.3,64,18
25,22,104.1,26.01,18
25,22,110.2,23.04,18
25,22,107.3,19.36,18
25,22,106.3,19.36,18
25,22,109.5,23.04,18
25,22,130.2,29.16,18
25,22,118.4,33.64,18
25,22,131.1,77.44,18
25,22,131.1,36,18
25,22,135.6,57.76,18
25,22,134.3,96.04,18
20,22,27.1,18.49,14
20,22,44.3,18.49,12
20,22,74.3,32.49,12
20,22,62.9,32.49,12
20,22,55.7,18.49,6
20,22,50,8.41,6
20,22,45.7,77.44,12
18,22,30,7.29,3
17,23,39.73,NA,NA
17,23,46.53,NA,NA
17,23,45.41,NA,NA
17,23,37.97,NA,NA
15,21,233,NA,NA
15,23,331,NA,NA
15,23,142,NA,NA
15,21,328,NA,NA
16,5,85.6,5.29,NA
16,4,117.8,39.69,NA
16,9,86.1,12.25,NA
16,10,87,1.96,NA
16,11,68.7,5.76,NA
16,13,127.7,10.24,NA
16,17,118.1,6.76,NA
16,24,73.7,32.49,NA
40,7,24.5,NA,NA
40,9,27.3,NA,NA
3,4,315,NA,NA
3,4,251,NA,NA
3,4,253,NA,NA
3,4,279,NA,NA
3,4,228,NA,NA
3,4,281,NA,NA
3,4,265,NA,NA
43,2,191,NA,26
24,4,48.8,0.36,3
24,1,37.9,5.29,3
46,4,57.6,NA,NA
46,4,63.9,NA,NA
46,4,57.4,NA,NA
46,4,61.9,NA,NA
47,17,47,NA,NA
28,12,69.5,NA,NA
29,12,68,1,18
29,12,61.5,0.5041,18
29,12,57.5,4,18
33,4,69.4,0.849615385,25
33,4,64.3,1.681,9
33,4,56.7,0.7605,19
37,17,119,NA,NA
37,17,102.5,NA,NA
37,17,109.5,NA,NA
37,17,132,NA,NA
37,17,128,NA,NA
37,17,118,NA,NA
37,17,116,NA,NA
37,17,125,NA,NA
37,17,130,NA,NA
37,17,109,NA,NA
14,7,41.7,NA,NA
14,7,40.6,NA,NA
14,7,32.9,NA,NA
14,7,42.4,NA,NA
14,7,35.6,NA,NA
11,12,50,12.25,22
11,16,34,1.69,34
11,4,39,1.96,58
19,4,23.65,NA,5
19,4,26.49,NA,5
19,4,31,NA,5
22,15,16.77,0.3249,178
22,15,13.8,0.1225,178
22,15,12.24,0.0784,178
22,15,18.33,0.1225,178
22,15,12.81,0.0784,178
22,15,17.55,0.25,178
41,19,107.4,NA,NA
41,23,109.4,NA,NA
41,23,115.5,NA,NA
32,17,12.17,NA,NA
32,17,28.17,NA,NA
42,6,171,NA,NA
42,6,154,NA,NA
45,3,209,16,NA
45,18,198,121,4
45,21,188,36,NA
45,3,299,361,NA
45,18,241,2116,4
45,21,198,49,NA
45,3,406,NA,NA
45,18,326,81,4
45,21,259,NA,NA
45,3,477,NA,NA
45,18,289,100,4
45,21,262,NA,NA
31,15,94.34,NA,NA
31,25,138.89,NA,NA
31,25,99.01,NA,NA
31,23,101.01,NA,NA
2,3,41.8,NA,NA
2,3,76,NA,NA
12,18,92.81,NA,NA
15,21,301,NA,NA
15,23,374,NA,NA
1,3,51.28,0.09,8
1,21,77.52,5.76,8
50,22,28.5,1.96,22
35,3,43.4,NA,NA
50,22,41.7,5.76,22
35,3,65.5,1.769473684,37
50,22,45.7,6.25,22
49,22,37.2,3.9204,2
26,23,30.61,0.303601,22
50,22,49.5,9.61,22
26,23,28.13,0.303601,22
26,23,25.68,0.8464,22
50,22,34.7,1.96,22
35,3,39.9,NA,NA
35,18,36.1,NA,NA
