Side
NA
0
1
0
1
0
0
1
1
0
0
0
0
0
NA
0
0
NA
0
0
0
1
0
0
1
1
0
0
0
1
1
0
0
0
NA
1
0
0
0
0
0
1
0
0
0
NA
0
1
0
0
0
0
